customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
C0076,53,9,1475.75,5,3,5,13,Loyal Customers
C0077,293,1,179.96,2,1,2,5,Lost
C0078,3,7,847.32,5,2,4,11,Potential Loyalist
C0079,7,5,429.65,5,2,3,10,Potential Loyalist
C0081,50,5,708.86,5,2,4,11,Potential Loyalist
C0082,57,5,343.85,5,2,2,9,Potential Loyalist
C0083,94,7,372.15,4,2,2,8,Potential Loyalist
C0084,9,8,668.27,5,3,4,12,Loyal Customers
C0085,34,7,488.8,5,2,3,10,Potential Loyalist
C0086,14,11,1441.5,5,4,5,14,Champions
C0087,13,4,309.89,5,1,2,8,Potential Loyalist
C0088,178,3,98.61,3,1,1,5,Hibernating
C0089,350,3,204.88,2,1,2,5,Lost
C0090,1,11,1344.86,5,4,5,14,Champions
C0091,367,2,95.95,2,1,1,4,Lost
C0092,18,3,198.94,5,1,2,8,Potential Loyalist
C0093,16,1,79.96,5,1,1,7,Potential Loyalist
C0094,50,6,864.71,5,2,5,12,Potential Loyalist
C0095,124,4,303.93,4,1,2,7,Potential Loyalist
C0097,158,8,996.29,3,3,5,11,Loyal Customers
C0098,185,4,549.88,3,1,3,7,Hibernating
C0099,23,6,855.81,5,2,4,11,Potential Loyalist
C0100,50,6,354.9,5,2,2,9,Potential Loyalist
C0101,853,1,23.74,1,1,1,3,Lost
C0102,27,5,605.39,5,2,4,11,Potential Loyalist
C0103,115,4,410.91,4,1,3,8,Potential Loyalist
C0104,11,9,987.11,5,3,5,13,Loyal Customers
C0105,70,2,359.93,5,1,2,8,Potential Loyalist
C0106,44,5,885.86,5,2,5,12,Potential Loyalist
C0107,24,6,454.07,5,2,3,10,Potential Loyalist
C0108,75,2,188.92,4,1,2,7,Potential Loyalist
C0109,121,5,344.1,4,2,2,8,Potential Loyalist
C0110,187,5,384.23,3,2,3,8,Hibernating
C0111,145,1,119.98,4,1,1,6,Potential Loyalist
C0112,704,2,41.97,1,1,1,3,Lost
C0113,3,7,765.11,5,2,4,11,Potential Loyalist
C0114,443,1,5.98,1,1,1,3,Lost
C0115,78,3,336.41,4,1,2,7,Potential Loyalist
C0116,6,7,894.05,5,2,5,12,Potential Loyalist
C0117,541,1,74.97,1,1,1,3,Lost
C0118,46,2,46.97,5,1,1,7,Potential Loyalist
C0119,20,12,1747.21,5,4,5,14,Champions
C0120,202,1,79.96,3,1,1,5,Hibernating
C0121,31,3,307.18,5,1,2,8,Potential Loyalist
C0122,110,5,625.33,4,2,4,10,Potential Loyalist
C0123,413,6,845.5,2,2,4,8,Lost
C0124,18,8,767.29,5,3,4,12,Loyal Customers
C0125,105,3,208.68,4,1,2,7,Potential Loyalist
C0126,61,1,47.98,5,1,1,7,Potential Loyalist
C0127,32,5,297.3,5,2,2,9,Potential Loyalist
C0128,204,6,717.61,3,2,4,9,Hibernating
C0129,22,5,851.85,5,2,4,11,Potential Loyalist
C0130,879,1,54.99,1,1,1,3,Lost
C0131,11,8,1197.03,5,3,5,13,Loyal Customers
C0132,223,1,8.07,3,1,1,5,Hibernating
C0133,54,5,964.13,5,2,5,12,Potential Loyalist
C0134,52,13,1107.35,5,4,5,14,Champions
C0135,232,3,822.89,3,1,4,8,Hibernating
C0136,50,10,768.1,5,3,4,12,Loyal Customers
C0137,35,3,417.92,5,1,3,9,Potential Loyalist
C0138,336,1,323.96,2,1,2,5,Lost
C0139,7,16,1478.21,5,5,5,15,Champions
C0140,49,6,778.88,5,2,4,11,Potential Loyalist
C0141,6,4,541.39,5,1,3,9,Potential Loyalist
C0142,56,1,143.98,5,1,1,7,Potential Loyalist
C0143,123,1,16.98,4,1,1,6,Potential Loyalist
C0144,11,5,390.83,5,2,3,10,Potential Loyalist
C0145,104,7,828.06,4,2,4,10,Potential Loyalist
C0146,3,4,672.84,5,1,4,10,Potential Loyalist
C0147,221,2,255.95,3,1,2,6,Hibernating
C0148,11,6,710.51,5,2,4,11,Potential Loyalist
C0149,147,4,372.86,4,1,3,8,Potential Loyalist
C0150,275,3,302.95,2,1,2,5,Lost
C0151,454,1,26.98,1,1,1,3,Lost
C0152,234,6,239.87,3,2,2,7,Hibernating
C0153,25,5,486.88,5,2,3,10,Potential Loyalist
C0154,18,14,1278.35,5,5,5,15,Champions
C0155,17,5,394.35,5,2,3,10,Potential Loyalist
C0156,82,8,857.81,4,3,4,11,Loyal Customers
C0157,368,1,79.98,2,1,1,4,Lost
C0158,977,1,11.96,1,1,1,3,Lost
C0159,201,1,142.45,3,1,1,5,Hibernating
C0160,33,3,436.17,5,1,3,9,Potential Loyalist
C0161,291,4,316.47,2,1,2,5,Lost
C0162,30,5,394.88,5,2,3,10,Potential Loyalist
C0163,337,2,516.94,2,1,3,6,Lost
C0164,14,7,693.32,5,2,4,11,Potential Loyalist
C0165,19,4,194.42,5,1,2,8,Potential Loyalist
C0166,156,6,511.07,3,2,3,8,Hibernating
C0167,131,6,932.52,4,2,5,11,Potential Loyalist
C0168,39,2,233.95,5,1,2,8,Potential Loyalist
C0169,47,5,238.74,5,2,2,9,Potential Loyalist
C0170,6,15,1655.17,5,5,5,15,Champions
C0171,10,1,359.98,5,1,2,8,Potential Loyalist
C0172,831,2,914.92,1,1,5,7,Lost
C0173,43,5,457.37,5,2,3,10,Potential Loyalist
C0174,58,3,574.87,5,1,3,9,Potential Loyalist
C0175,14,3,225.9,5,1,2,8,Potential Loyalist
C0176,21,8,1619.99,5,3,5,13,Loyal Customers
C0177,270,2,349.91,2,1,2,5,Lost
C0178,25,10,1225.25,5,3,5,13,Loyal Customers
C0179,12,11,947.26,5,4,5,14,Champions
C0180,11,5,411.28,5,2,3,10,Potential Loyalist
C0181,24,4,250.74,5,1,2,8,Potential Loyalist
C0182,68,4,481.86,5,1,3,9,Potential Loyalist
C0183,2,9,732.94,5,3,4,12,Loyal Customers
C0184,78,2,289.92,4,1,2,7,Potential Loyalist
C0185,735,1,59.99,1,1,1,3,Lost
C0186,4,6,665.78,5,2,4,11,Potential Loyalist
C0187,14,4,317.03,5,1,2,8,Potential Loyalist
C0188,120,1,11.96,4,1,1,6,Potential Loyalist
C0189,8,5,367.34,5,2,2,9,Potential Loyalist
C0190,511,1,29.98,1,1,1,3,Lost
C0191,48,6,423.24,5,2,3,10,Potential Loyalist
C0192,50,2,56.93,5,1,1,7,Potential Loyalist
C0193,46,1,14.99,5,1,1,7,Potential Loyalist
C0194,15,2,109.95,5,1,1,7,Potential Loyalist
C0195,385,3,178.95,2,1,2,5,Lost
C0196,151,5,430.89,4,2,3,9,Potential Loyalist
C0197,99,7,616.38,4,2,4,10,Potential Loyalist
C0198,182,3,1067.39,3,1,5,9,Hibernating
C0199,16,10,1048.27,5,3,5,13,Loyal Customers
C0200,1,9,1024.04,5,3,5,13,Loyal Customers
C0201,469,1,139.98,1,1,1,3,Lost
C0202,234,4,816.86,3,1,4,8,Hibernating
C0203,3,3,119.94,5,1,1,7,Potential Loyalist
C0204,25,10,1086.25,5,3,5,13,Loyal Customers
C0205,97,2,392.94,4,1,3,8,Potential Loyalist
C0206,25,3,298.11,5,1,2,8,Potential Loyalist
C0207,46,2,344.94,5,1,2,8,Potential Loyalist
C0208,195,1,39.99,3,1,1,5,Hibernating
C0209,78,7,410.58,4,2,3,9,Potential Loyalist
C0210,51,6,540.26,5,2,3,10,Potential Loyalist
C0211,29,4,434.89,5,1,3,9,Potential Loyalist
C0212,223,1,85.48,3,1,1,5,Hibernating
C0213,53,3,344.96,5,1,2,8,Potential Loyalist
C0214,47,5,338.62,5,2,2,9,Potential Loyalist
C0215,29,1,9.99,5,1,1,7,Potential Loyalist
C0216,88,7,902.28,4,2,5,11,Potential Loyalist
C0217,155,3,659.91,3,1,4,8,Hibernating
C0218,111,1,189.95,4,1,2,7,Potential Loyalist
C0219,86,2,126.35,4,1,1,6,Potential Loyalist
C0220,7,4,542.88,5,1,3,9,Potential Loyalist
C0221,12,13,2500.81,5,4,5,14,Champions
C0222,57,4,589.37,5,1,3,9,Potential Loyalist
C0223,468,1,17.99,1,1,1,3,Lost
C0224,147,3,363.64,4,1,2,7,Potential Loyalist
C0225,177,5,492.49,3,2,3,8,Hibernating
C0226,560,1,103.99,1,1,1,3,Lost
C0227,66,3,149.21,5,1,1,7,Potential Loyalist
C0229,155,5,1010.47,3,2,5,10,Hibernating
C0230,20,6,966.08,5,2,5,12,Potential Loyalist
C0231,55,2,189.95,5,1,2,8,Potential Loyalist
C0232,19,9,1079.03,5,3,5,13,Loyal Customers
C0233,78,3,171.9,4,1,1,6,Potential Loyalist
C0234,115,3,168.95,4,1,1,6,Potential Loyalist
C0235,221,1,467.96,3,1,3,7,Hibernating
C0236,4,9,367.55,5,3,2,10,Loyal Customers
C0237,2,5,582.85,5,2,3,10,Potential Loyalist
C0238,203,6,787.82,3,2,4,9,Hibernating
C0239,194,4,450.63,3,1,3,7,Hibernating
C0240,2,16,1679.79,5,5,5,15,Champions
C0242,601,1,29.98,1,1,1,3,Lost
C0243,150,1,159.98,4,1,1,6,Potential Loyalist
C0244,151,4,381.21,4,1,3,8,Potential Loyalist
C0245,71,15,1732.08,5,5,5,15,Champions
C0246,60,1,25.98,5,1,1,7,Potential Loyalist
C0247,496,1,449.97,1,1,3,5,Lost
C0248,31,3,727.91,5,1,4,10,Potential Loyalist
C0249,21,5,184.98,5,2,2,9,Potential Loyalist
C0250,30,3,210.95,5,1,2,8,Potential Loyalist
C0251,30,7,535.89,5,2,3,10,Potential Loyalist
C0252,33,4,503.9,5,1,3,9,Potential Loyalist
C0253,311,1,29.99,2,1,1,4,Lost
C0254,2,1,29.98,5,1,1,7,Potential Loyalist
C0255,24,1,159.98,5,1,1,7,Potential Loyalist
C0256,43,10,1205.79,5,3,5,13,Loyal Customers
C0257,107,4,623.61,4,1,4,9,Potential Loyalist
C0258,31,4,497.42,5,1,3,9,Potential Loyalist
C0259,431,1,25.48,2,1,1,4,Lost
C0260,185,2,64.93,3,1,1,5,Hibernating
C0261,137,6,654.42,4,2,4,10,Potential Loyalist
C0262,159,1,46.76,3,1,1,5,Hibernating
C0263,203,13,1252.53,3,4,5,12,Loyal Customers
C0264,34,6,758.32,5,2,4,11,Potential Loyalist
C0265,284,2,164.19,2,1,1,4,Lost
C0266,55,2,777.41,5,1,4,10,Potential Loyalist
C0267,818,1,127.97,1,1,1,3,Lost
C0268,222,7,642.66,3,2,4,9,Hibernating
C0269,152,2,337.93,4,1,2,7,Potential Loyalist
C0270,235,4,485.34,3,1,3,7,Hibernating
C0271,74,6,472.6,4,2,3,9,Potential Loyalist
C0272,134,3,315.41,4,1,2,7,Potential Loyalist
C0273,17,1,33.99,5,1,1,7,Potential Loyalist
C0274,304,6,367.1,2,2,2,6,Lost
C0275,239,1,29.97,3,1,1,5,Hibernating
C0276,72,8,1003.25,5,3,5,13,Loyal Customers
C0277,194,2,322.94,3,1,2,6,Hibernating
C0278,3,9,1136.74,5,3,5,13,Loyal Customers
C0279,855,1,39.98,1,1,1,3,Lost
C0280,196,3,442.67,3,1,3,7,Hibernating
C0281,202,1,749.95,3,1,4,8,Hibernating
C0282,38,3,165.15,5,1,1,7,Potential Loyalist
C0283,211,6,340.68,3,2,2,7,Hibernating
C0284,38,1,89.99,5,1,1,7,Potential Loyalist
C0285,182,4,709.09,3,1,4,8,Hibernating
C0286,704,1,71.99,1,1,1,3,Lost
C0287,348,2,653.44,2,1,4,7,Lost
C0288,205,6,323.74,3,2,2,7,Hibernating
C0289,117,2,207.96,4,1,2,7,Potential Loyalist
C0290,3,2,50.2,5,1,1,7,Potential Loyalist
C0291,45,7,686.78,5,2,4,11,Potential Loyalist
C0292,22,6,603.03,5,2,4,11,Potential Loyalist
C0293,316,1,56.97,2,1,1,4,Lost
C0294,73,1,749.95,4,1,4,9,Potential Loyalist
C0295,54,3,300.93,5,1,2,8,Potential Loyalist
C0296,52,5,1091.71,5,2,5,12,Potential Loyalist
C0297,3,4,283.45,5,1,2,8,Potential Loyalist
C0298,30,7,1130.64,5,2,5,12,Potential Loyalist
C0299,208,5,565.39,3,2,3,8,Hibernating
C0300,3,9,790.59,5,3,4,12,Loyal Customers
C0301,274,2,145.95,2,1,1,4,Lost
C0302,214,7,716.1,3,2,4,9,Hibernating
C0303,4,1,71.98,5,1,1,7,Potential Loyalist
C0304,80,1,71.96,4,1,1,6,Potential Loyalist
C0305,23,8,915.51,5,3,5,13,Loyal Customers
C0306,201,6,583.3,3,2,3,8,Hibernating
C0307,18,7,1182.87,5,2,5,12,Potential Loyalist
C0308,10,5,471.4,5,2,3,10,Potential Loyalist
C0309,124,6,535.07,4,2,3,9,Potential Loyalist
C0310,11,5,832.38,5,2,4,11,Potential Loyalist
C0311,511,1,59.99,1,1,1,3,Lost
C0312,79,5,290.29,4,2,2,8,Potential Loyalist
C0313,265,2,412.41,2,1,3,6,Lost
C0314,12,2,167.98,5,1,1,7,Potential Loyalist
C0315,122,1,89.97,4,1,1,6,Potential Loyalist
C0316,257,1,215.96,2,1,2,5,Lost
C0317,270,1,24.27,2,1,1,4,Lost
C0318,27,1,441.97,5,1,3,9,Potential Loyalist
C0319,14,4,505.87,5,1,3,9,Potential Loyalist
C0320,97,1,189.96,4,1,2,7,Potential Loyalist
C0321,239,3,172.91,3,1,1,5,Hibernating
C0322,16,8,2113.74,5,3,5,13,Loyal Customers
C0323,155,6,375.0,3,2,3,8,Hibernating
C0324,146,1,166.2,4,1,1,6,Potential Loyalist
C0325,395,1,74.97,2,1,1,4,Lost
C0326,10,6,788.86,5,2,4,11,Potential Loyalist
C0327,139,7,680.8,4,2,4,10,Potential Loyalist
C0328,46,8,864.07,5,3,5,13,Loyal Customers
C0329,774,1,94.95,1,1,1,3,Lost
C0330,71,1,119.98,5,1,1,7,Potential Loyalist
C0331,8,1,224.96,5,1,2,8,Potential Loyalist
C0332,107,2,235.95,4,1,2,7,Potential Loyalist
C0333,19,4,625.43,5,1,4,10,Potential Loyalist
C0334,48,10,622.73,5,3,4,12,Loyal Customers
C0335,67,6,778.42,5,2,4,11,Potential Loyalist
C0336,50,3,488.21,5,1,3,9,Potential Loyalist
C0337,158,4,935.35,3,1,5,9,Hibernating
C0338,5,8,577.92,5,3,3,11,Loyal Customers
C0339,563,1,51.96,1,1,1,3,Lost
C0340,49,3,134.92,5,1,1,7,Potential Loyalist
C0342,70,4,211.81,5,1,2,8,Potential Loyalist
C0343,300,3,270.93,2,1,2,5,Lost
C0344,75,5,604.27,4,2,4,10,Potential Loyalist
C0345,67,9,2083.41,5,3,5,13,Loyal Customers
C0346,35,13,1634.85,5,4,5,14,Champions
C0347,149,6,333.47,4,2,2,8,Potential Loyalist
C0348,8,10,1204.95,5,3,5,13,Loyal Customers
C0349,78,8,2061.72,4,3,5,12,Loyal Customers
C0350,66,3,689.86,5,1,4,10,Potential Loyalist
C0351,79,9,1172.48,4,3,5,12,Loyal Customers
C0352,40,5,217.64,5,2,2,9,Potential Loyalist
C0353,402,1,59.97,2,1,1,4,Lost
C0354,144,4,664.89,4,1,4,9,Potential Loyalist
C0355,284,1,56.99,2,1,1,4,Lost
C0356,178,5,728.84,3,2,4,9,Hibernating
C0357,3,3,138.7,5,1,1,7,Potential Loyalist
C0358,67,8,1230.75,5,3,5,13,Loyal Customers
C0359,26,7,707.9,5,2,4,11,Potential Loyalist
C0360,504,1,2.99,1,1,1,3,Lost
C0361,625,1,25.98,1,1,1,3,Lost
C0362,270,1,19.99,2,1,1,4,Lost
C0363,22,2,417.44,5,1,3,9,Potential Loyalist
C0364,11,2,32.81,5,1,1,7,Potential Loyalist
C0365,19,8,1093.5,5,3,5,13,Loyal Customers
C0366,101,1,179.96,4,1,2,7,Potential Loyalist
C0367,425,1,199.96,2,1,2,5,Lost
C0368,220,7,1029.3,3,2,5,10,Hibernating
C0369,93,8,956.75,4,3,5,12,Loyal Customers
C0370,58,5,832.36,5,2,4,11,Potential Loyalist
C0371,24,5,1224.26,5,2,5,12,Potential Loyalist
C0372,5,7,1124.53,5,2,5,12,Potential Loyalist
C0373,75,2,125.41,4,1,1,6,Potential Loyalist
C0374,5,11,559.73,5,4,3,12,Loyal Customers
C0375,7,1,127.46,5,1,1,7,Potential Loyalist
C0376,30,7,379.74,5,2,3,10,Potential Loyalist
C0377,38,6,417.04,5,2,3,10,Potential Loyalist
C0378,1,8,910.82,5,3,5,13,Loyal Customers
C0379,143,1,94.95,4,1,1,6,Potential Loyalist
C0380,129,2,127.71,4,1,1,6,Potential Loyalist
C0381,16,10,1274.91,5,3,5,13,Loyal Customers
C0382,167,1,30.58,3,1,1,5,Hibernating
C0383,23,3,277.93,5,1,2,8,Potential Loyalist
C0384,186,1,47.49,3,1,1,5,Hibernating
C0385,368,4,543.96,2,1,3,6,Lost
C0386,26,4,732.86,5,1,4,10,Potential Loyalist
C0387,56,1,28.48,5,1,1,7,Potential Loyalist
C0388,82,5,996.79,4,2,5,11,Potential Loyalist
C0389,228,1,26.98,3,1,1,5,Hibernating
C0390,4,6,698.83,5,2,4,11,Potential Loyalist
C0391,31,10,929.12,5,3,5,13,Loyal Customers
C0392,3,1,125.96,5,1,1,7,Potential Loyalist
C0393,100,3,587.67,4,1,3,8,Potential Loyalist
C0394,31,3,600.89,5,1,4,10,Potential Loyalist
C0395,2,6,702.86,5,2,4,11,Potential Loyalist
C0396,21,7,801.81,5,2,4,11,Potential Loyalist
C0397,464,1,80.7,1,1,1,3,Lost
C0398,23,7,743.29,5,2,4,11,Potential Loyalist
C0399,39,6,512.82,5,2,3,10,Potential Loyalist
C0400,367,1,79.96,2,1,1,4,Lost
C0401,303,4,707.36,2,1,4,7,Lost
C0402,332,7,626.11,2,2,4,8,Lost
C0403,5,9,1145.52,5,3,5,13,Loyal Customers
C0404,532,5,567.83,1,2,3,6,Lost
C0405,18,4,491.57,5,1,3,9,Potential Loyalist
C0406,17,4,205.29,5,1,2,8,Potential Loyalist
C0407,3,7,858.62,5,2,5,12,Potential Loyalist
C0408,83,5,854.84,4,2,4,10,Potential Loyalist
C0409,65,2,297.94,5,1,2,8,Potential Loyalist
C0410,171,5,599.09,3,2,4,9,Hibernating
C0411,62,1,84.96,5,1,1,7,Potential Loyalist
C0413,672,1,114.72,1,1,1,3,Lost
C0414,48,1,74.97,5,1,1,7,Potential Loyalist
C0415,56,6,599.8,5,2,4,11,Potential Loyalist
C0416,31,9,1272.46,5,3,5,13,Loyal Customers
C0417,233,4,267.91,3,1,2,6,Hibernating
C0418,42,8,801.71,5,3,4,12,Loyal Customers
C0419,24,8,678.86,5,3,4,12,Loyal Customers
C0420,22,7,889.83,5,2,5,12,Potential Loyalist
C0421,3,1,23.38,5,1,1,7,Potential Loyalist
C0422,58,1,104.97,5,1,1,7,Potential Loyalist
C0423,234,3,351.88,3,1,2,6,Hibernating
C0424,22,7,784.07,5,2,4,11,Potential Loyalist
C0425,221,1,99.96,3,1,1,5,Hibernating
C0426,62,6,1882.3,5,2,5,12,Potential Loyalist
C0428,114,7,826.57,4,2,4,10,Potential Loyalist
C0429,207,3,413.91,3,1,3,7,Hibernating
C0430,5,3,219.89,5,1,2,8,Potential Loyalist
C0431,19,1,215.97,5,1,2,8,Potential Loyalist
C0432,147,1,157.46,4,1,1,6,Potential Loyalist
C0433,214,2,310.94,3,1,2,6,Hibernating
C0434,67,4,124.92,5,1,1,7,Potential Loyalist
C0435,62,6,428.11,5,2,3,10,Potential Loyalist
C0436,153,6,727.78,4,2,4,10,Potential Loyalist
C0437,490,1,59.96,1,1,1,3,Lost
C0438,65,4,420.91,5,1,3,9,Potential Loyalist
C0439,15,7,525.6,5,2,3,10,Potential Loyalist
C0440,495,1,119.98,1,1,1,3,Lost
C0441,30,2,241.2,5,1,2,8,Potential Loyalist
C0442,99,5,398.84,4,2,3,9,Potential Loyalist
C0443,35,5,658.03,5,2,4,11,Potential Loyalist
C0444,19,8,1152.63,5,3,5,13,Loyal Customers
C0445,13,7,1177.04,5,2,5,12,Potential Loyalist
C0446,66,3,370.42,5,1,2,8,Potential Loyalist
C0447,55,8,884.8,5,3,5,13,Loyal Customers
C0448,137,4,257.64,4,1,2,7,Potential Loyalist
C0449,4,1,31.18,5,1,1,7,Potential Loyalist
C0450,52,1,599.96,5,1,4,10,Potential Loyalist
C0451,270,1,64.95,2,1,1,4,Lost
C0452,35,2,158.68,5,1,1,7,Potential Loyalist
C0453,48,8,809.3,5,3,4,12,Loyal Customers
C0454,31,1,24.99,5,1,1,7,Potential Loyalist
C0455,91,5,713.85,4,2,4,10,Potential Loyalist
C0456,56,6,973.83,5,2,5,12,Potential Loyalist
C0457,94,14,1206.37,4,5,5,14,Champions
C0458,36,9,850.73,5,3,4,12,Loyal Customers
C0459,94,1,63.97,4,1,1,6,Potential Loyalist
C0460,97,6,934.08,4,2,5,11,Potential Loyalist
C0461,371,3,180.61,2,1,2,5,Lost
C0462,57,9,1002.98,5,3,5,13,Loyal Customers
C0463,72,8,1498.25,5,3,5,13,Loyal Customers
C0464,5,1,199.96,5,1,2,8,Potential Loyalist
C0465,31,8,1832.48,5,3,5,13,Loyal Customers
C0466,674,1,399.95,1,1,3,5,Lost
C0467,160,3,326.9,3,1,2,6,Hibernating
C0468,327,5,557.03,2,2,3,7,Lost
C0469,26,1,509.97,5,1,3,9,Potential Loyalist
C0470,267,1,59.96,2,1,1,4,Lost
C0471,20,5,302.85,5,2,2,9,Potential Loyalist
C0472,145,4,461.97,4,1,3,8,Potential Loyalist
C0473,74,2,305.95,4,1,2,7,Potential Loyalist
C0474,92,10,996.8,4,3,5,12,Loyal Customers
C0475,23,9,1040.27,5,3,5,13,Loyal Customers
C0476,162,8,896.37,3,3,5,11,Loyal Customers
C0477,26,1,47.99,5,1,1,7,Potential Loyalist
C0478,625,1,319.96,1,1,2,4,Lost
C0479,156,8,864.79,3,3,5,11,Loyal Customers
C0480,61,6,728.29,5,2,4,11,Potential Loyalist
C0481,165,2,200.46,3,1,2,6,Hibernating
C0482,124,3,204.9,4,1,2,7,Potential Loyalist
C0483,230,1,35.99,3,1,1,5,Hibernating
C0484,215,11,823.36,3,4,4,11,Loyal Customers
C0485,254,1,269.97,3,1,2,6,Hibernating
C0486,6,8,522.81,5,3,3,11,Loyal Customers
C0487,486,1,139.98,1,1,1,3,Lost
C0488,2,8,284.59,5,3,2,10,Loyal Customers
C0489,115,1,53.97,4,1,1,6,Potential Loyalist
C0490,286,1,33.98,2,1,1,4,Lost
C0491,9,9,787.72,5,3,4,12,Loyal Customers
C0492,121,4,456.9,4,1,3,8,Potential Loyalist
C0493,124,6,1289.33,4,2,5,11,Potential Loyalist
C0494,67,3,99.46,5,1,1,7,Potential Loyalist
C0495,6,8,545.76,5,3,3,11,Loyal Customers
C0496,16,9,695.95,5,3,4,12,Loyal Customers
C0497,121,5,1413.83,4,2,5,11,Potential Loyalist
C0498,169,1,24.27,3,1,1,5,Hibernating
C0499,84,9,686.16,4,3,4,11,Loyal Customers
C0500,119,7,665.25,4,2,4,10,Potential Loyalist
C0501,304,5,721.12,2,2,4,8,Lost
C0502,861,1,174.95,1,1,1,3,Lost
C0503,89,7,1085.56,4,2,5,11,Potential Loyalist
C0504,68,6,808.56,5,2,4,11,Potential Loyalist
C0505,101,5,324.39,4,2,2,8,Potential Loyalist
C0506,73,4,1178.09,4,1,5,10,Potential Loyalist
C0507,165,1,79.97,3,1,1,5,Hibernating
C0508,105,4,198.29,4,1,2,7,Potential Loyalist
C0509,21,1,140.22,5,1,1,7,Potential Loyalist
C0510,341,1,59.48,2,1,1,4,Lost
C0511,44,5,712.09,5,2,4,11,Potential Loyalist
C0512,3,9,1015.67,5,3,5,13,Loyal Customers
C0513,20,5,818.36,5,2,4,11,Potential Loyalist
