order_id,customer_id,order_date,category,product,quantity,unit_price,discount_pct,total_amount,status
O000047,C0008,2023-12-19,Sports,Yoga Mat,1,39.99,0,39.99,Delivered
O000048,C0009,2023-05-14,Food & Drink,Tea Collection,5,24.99,5,118.7,Delivered
O000049,C0009,2023-11-28,Clothing,Jacket,1,89.99,0,89.99,Delivered
O000050,C0009,2023-08-21,Food & Drink,Tea Collection,1,24.99,0,24.99,Delivered
O000051,C0009,2023-09-02,Home & Garden,Candle Set,3,24.99,0,74.97,Delivered
O000052,C0009,2023-11-16,Books,Data Science Guide,3,44.99,20,107.98,Delivered
O000053,C0010,2023-06-17,Electronics,Headphones,4,149.99,15,509.97,Delivered
O000054,C0011,2023-07-16,Books,Cookbook,4,24.99,0,99.96,Delivered
O000055,C0012,2022-12-02,Home & Garden,Rug,3,129.99,20,311.98,Delivered
O000056,C0012,2022-10-09,Beauty,Shampoo,2,14.99,5,28.48,Delivered
O000057,C0012,2022-11-06,Food & Drink,Nuts Mix,5,12.99,0,64.95,Delivered
O000058,C0012,2023-01-13,Home & Garden,Cushion,5,34.99,0,174.95,Delivered
O000059,C0012,2023-10-04,Clothing,Jacket,5,89.99,5,427.45,Delivered
O000060,C0013,2023-07-10,Clothing,Jacket,2,89.99,15,152.98,Delivered
O000061,C0014,2021-10-11,Sports,Yoga Mat,2,39.99,10,71.98,Delivered
O000062,C0014,2021-09-09,Home & Garden,Candle Set,2,24.99,5,47.48,Delivered
O000063,C0014,2021-11-15,Beauty,Face Cream,1,39.99,20,31.99,Delivered
O000064,C0014,2021-08-13,Sports,Dumbbells,1,59.99,5,56.99,Delivered
O000065,C0014,2022-12-07,Home & Garden,Lamp,2,69.99,10,125.98,Delivered
O000066,C0014,2023-06-09,Toys,Board Game,1,34.99,20,27.99,Delivered
O000067,C0014,2022-07-10,Home & Garden,Cushion,3,34.99,10,94.47,Delivered
O000068,C0014,2023-11-09,Beauty,Lip Balm,4,8.99,15,30.57,Delivered
O000069,C0014,2023-05-03,Beauty,Shampoo,3,14.99,0,44.97,Delivered
O000070,C0015,2023-09-28,Electronics,USB Hub,4,29.99,0,119.96,Delivered
O000071,C0016,2023-06-16,Beauty,Perfume,4,79.99,5,303.96,Delivered
O000072,C0017,2023-12-05,Toys,Board Game,1,34.99,20,27.99,Delivered
O000073,C0017,2023-09-13,Electronics,USB Hub,2,29.99,5,56.98,Delivered
O000074,C0017,2023-11-28,Food & Drink,Coffee Beans,4,19.99,0,79.96,Delivered
O000075,C0017,2023-12-19,Beauty,Lip Balm,4,8.99,0,35.96,Delivered
O000076,C0017,2023-11-17,Electronics,Headphones,2,149.99,10,269.98,Delivered
O000077,C0017,2023-07-07,Electronics,Laptop Stand,3,49.99,15,127.47,Delivered
O000078,C0017,2023-07-28,Toys,Board Game,4,34.99,0,139.96,Delivered
O000079,C0017,2023-09-07,Clothing,Dress,2,49.99,10,89.98,Delivered
O000080,C0017,2023-12-08,Books,Travel Guide,1,16.99,10,15.29,Delivered
O000081,C0018,2022-08-03,Home & Garden,Plant Pot,4,14.99,0,59.96,Delivered
O000082,C0018,2023-11-25,Clothing,Jacket,5,89.99,15,382.46,Delivered
O000083,C0018,2022-05-13,Clothing,Jeans,4,59.99,0,239.96,Delivered
O000084,C0018,2022-03-06,Books,Cookbook,4,24.99,0,99.96,Delivered
O000085,C0018,2023-01-06,Toys,Art Kit,3,24.99,15,63.72,Delivered
O000086,C0018,2022-09-13,Home & Garden,Plant Pot,5,14.99,10,67.45,Delivered
O000087,C0018,2022-11-10,Electronics,Mouse,5,39.99,20,159.96,Delivered
O000088,C0018,2022-02-21,Beauty,Perfume,2,79.99,0,159.98,Delivered
O000089,C0019,2023-07-23,Toys,Art Kit,3,24.99,10,67.47,Delivered
O000090,C0019,2023-07-04,Sports,Skipping Rope,2,9.99,0,19.98,Delivered
O000091,C0020,2023-09-18,Home & Garden,Plant Pot,3,14.99,0,44.97,Delivered
O000092,C0020,2023-04-08,Electronics,Headphones,3,149.99,10,404.97,Delivered
O000093,C0021,2023-11-23,Home & Garden,Candle Set,2,24.99,10,44.98,Delivered
O000094,C0022,2022-09-18,Clothing,Jeans,5,59.99,0,299.95,Delivered
O000095,C0022,2023-11-08,Sports,Skipping Rope,4,9.99,5,37.96,Delivered
O000096,C0022,2023-09-19,Clothing,T-Shirt,4,19.99,20,63.97,Delivered
O000097,C0022,2022-12-03,Beauty,Perfume,5,79.99,0,399.95,Delivered
O000098,C0022,2022-08-10,Electronics,Webcam,2,79.99,0,159.98,Delivered
O000099,C0022,2023-11-09,Beauty,Face Cream,4,39.99,5,151.96,Delivered
O000100,C0022,2022-12-29,Beauty,Perfume,2,79.99,0,159.98,Delivered
O000101,C0022,2023-09-04,Food & Drink,Tea Collection,2,24.99,0,49.98,Delivered
O000102,C0022,2022-07-24,Toys,Board Game,2,34.99,5,66.48,Delivered
O000103,C0022,2022-07-28,Sports,Water Bottle,4,19.99,0,79.96,Delivered
O000104,C0023,2023-05-24,Food & Drink,Nuts Mix,5,12.99,10,58.46,Returned
O000105,C0023,2023-09-30,Food & Drink,Olive Oil,2,16.99,0,33.98,Delivered
O000106,C0023,2023-04-18,Sports,Skipping Rope,4,9.99,0,39.96,Delivered
O000107,C0023,2023-05-01,Books,Data Science Guide,5,44.99,10,202.46,Returned
O000108,C0023,2023-08-18,Home & Garden,Rug,1,129.99,0,129.99,Delivered
O000109,C0024,2023-05-05,Sports,Water Bottle,5,19.99,0,99.95,Returned
O000110,C0025,2023-12-07,Toys,Stuffed Animal,5,19.99,20,79.96,Delivered
O000111,C0025,2023-11-21,Clothing,Jacket,1,89.99,0,89.99,Delivered
O000112,C0025,2023-12-11,Books,Travel Guide,4,16.99,10,61.16,Delivered
O000113,C0025,2023-11-17,Books,Travel Guide,5,16.99,0,84.95,Delivered
O000114,C0025,2023-12-27,Beauty,Perfume,2,79.99,0,159.98,Delivered
O000115,C0025,2023-11-29,Beauty,Lip Balm,4,8.99,10,32.36,Delivered
O000116,C0025,2023-12-10,Beauty,Perfume,3,79.99,0,239.97,Delivered
O000117,C0026,2021-05-12,Home & Garden,Lamp,2,69.99,15,118.98,Delivered
O000118,C0027,2022-06-02,Food & Drink,Olive Oil,5,16.99,0,84.95,Delivered
O000119,C0027,2022-09-15,Electronics,Laptop Stand,4,49.99,0,199.96,Delivered
O000120,C0027,2022-01-24,Clothing,Dress,5,49.99,5,237.45,Delivered
O000121,C0027,2023-10-04,Books,Data Science Guide,5,44.99,0,224.95,Delivered
O000122,C0027,2023-11-27,Toys,LEGO Set,5,49.99,5,237.45,Delivered
O000123,C0027,2022-04-30,Electronics,Headphones,5,149.99,0,749.95,Delivered
O000124,C0027,2022-04-05,Beauty,Serum,1,54.99,10,49.49,Delivered
O000125,C0027,2023-09-12,Books,Novel,4,12.99,0,51.96,Delivered
O000126,C0027,2022-09-30,Clothing,Jeans,2,59.99,5,113.98,Delivered
O000127,C0027,2023-09-19,Beauty,Serum,3,54.99,5,156.72,Delivered
O000128,C0028,2023-08-15,Beauty,Serum,2,54.99,0,109.98,Delivered
O000129,C0029,2022-04-07,Toys,Puzzle,1,19.99,20,15.99,Returned
O000130,C0029,2023-10-22,Food & Drink,Tea Collection,4,24.99,10,89.96,Delivered
O000131,C0029,2022-10-25,Beauty,Perfume,2,79.99,5,151.98,Delivered
O000132,C0029,2023-05-26,Toys,Art Kit,2,24.99,0,49.98,Delivered
O000133,C0029,2022-07-12,Food & Drink,Olive Oil,3,16.99,0,50.97,Delivered
O000134,C0029,2023-09-29,Books,Travel Guide,1,16.99,15,14.44,Delivered
O000135,C0030,2022-01-07,Beauty,Shampoo,3,14.99,10,40.47,Returned
O000136,C0031,2023-07-20,Electronics,Webcam,1,79.99,0,79.99,Delivered
O000137,C0031,2023-09-27,Beauty,Perfume,1,79.99,20,63.99,Delivered
O000138,C0031,2023-07-18,Clothing,Dress,3,49.99,10,134.97,Delivered
O000139,C0031,2023-12-26,Clothing,Jacket,4,89.99,20,287.97,Delivered
O000140,C0032,2023-08-03,Electronics,USB Hub,4,29.99,5,113.96,Delivered
O000141,C0032,2023-07-24,Electronics,Webcam,2,79.99,0,159.98,Delivered
O000142,C0032,2023-09-30,Home & Garden,Cushion,4,34.99,15,118.97,Delivered
O000143,C0032,2023-09-08,Electronics,Mouse,3,39.99,5,113.97,Delivered
O000144,C0032,2023-07-08,Clothing,Dress,2,49.99,0,99.98,Delivered
O000145,C0033,2023-02-22,Sports,Skipping Rope,5,9.99,0,49.95,Delivered
O000146,C0034,2023-12-09,Clothing,Sneakers,5,79.99,0,399.95,Delivered
O000147,C0035,2023-11-12,Clothing,Jacket,4,89.99,0,359.96,Delivered
O000148,C0036,2023-12-15,Home & Garden,Rug,1,129.99,20,103.99,Delivered
O000149,C0036,2023-12-23,Home & Garden,Rug,1,129.99,20,103.99,Delivered
O000150,C0036,2023-12-13,Books,Travel Guide,4,16.99,0,67.96,Delivered
O000151,C0036,2023-12-12,Beauty,Lip Balm,1,8.99,0,8.99,Delivered
O000152,C0036,2023-12-17,Books,Cookbook,2,24.99,20,39.98,Delivered
O000153,C0037,2021-08-06,Books,Novel,1,12.99,0,12.99,Delivered
O000154,C0037,2022-03-21,Clothing,Jeans,1,59.99,5,56.99,Delivered
O000155,C0038,2022-01-09,Home & Garden,Cushion,4,34.99,10,125.96,Delivered
O000156,C0038,2022-04-07,Clothing,T-Shirt,5,19.99,20,79.96,Delivered
O000157,C0038,2021-08-12,Food & Drink,Olive Oil,4,16.99,5,64.56,Delivered
O000158,C0038,2023-07-06,Toys,Stuffed Animal,2,19.99,0,39.98,Returned
O000159,C0039,2022-10-10,Food & Drink,Nuts Mix,4,12.99,15,44.17,Delivered
O000160,C0040,2023-06-13,Electronics,Headphones,2,149.99,0,299.98,Delivered
O000161,C0041,2023-03-28,Clothing,Sneakers,1,79.99,10,71.99,Delivered
O000162,C0041,2023-04-28,Electronics,Laptop Stand,3,49.99,5,142.47,Delivered
O000163,C0041,2023-09-20,Books,Python Cookbook,5,34.99,5,166.2,Delivered
O000164,C0041,2023-12-14,Beauty,Face Cream,2,39.99,0,79.98,Delivered
O000165,C0041,2023-11-27,Beauty,Face Cream,4,39.99,5,151.96,Delivered
O000166,C0041,2023-08-02,Books,Cookbook,2,24.99,10,44.98,Delivered
O000167,C0042,2023-04-08,Beauty,Lip Balm,1,8.99,0,8.99,Delivered
O000168,C0042,2022-11-02,Toys,Board Game,2,34.99,20,55.98,Delivered
O000169,C0042,2023-02-15,Clothing,Jeans,2,59.99,20,95.98,Delivered
O000170,C0042,2023-07-12,Home & Garden,Plant Pot,4,14.99,0,59.96,Delivered
O000171,C0042,2023-05-01,Home & Garden,Cushion,3,34.99,20,83.98,Delivered
O000172,C0043,2023-02-26,Sports,Water Bottle,2,19.99,0,39.98,Delivered
O000173,C0044,2023-11-12,Sports,Dumbbells,2,59.99,5,113.98,Delivered
O000174,C0044,2022-03-18,Beauty,Serum,2,54.99,20,87.98,Delivered
O000175,C0045,2023-04-01,Books,Travel Guide,4,16.99,0,67.96,Delivered
O000176,C0045,2022-08-31,Electronics,Laptop Stand,1,49.99,15,42.49,Delivered
O000177,C0045,2023-09-09,Books,Data Science Guide,5,44.99,20,179.96,Delivered
O000178,C0045,2023-05-02,Food & Drink,Olive Oil,3,16.99,0,50.97,Delivered
O000179,C0045,2023-06-25,Electronics,USB Hub,5,29.99,0,149.95,Delivered
O000180,C0045,2022-07-11,Home & Garden,Plant Pot,3,14.99,5,42.72,Delivered
O000181,C0045,2023-01-05,Books,Cookbook,5,24.99,0,124.95,Delivered
O000182,C0046,2023-10-02,Toys,LEGO Set,3,49.99,10,134.97,Delivered
O000183,C0046,2021-12-20,Books,Python Cookbook,3,34.99,20,83.98,Delivered
O000184,C0046,2023-12-24,Books,Data Science Guide,3,44.99,15,114.72,Delivered
O000185,C0046,2021-04-28,Electronics,Mouse,3,39.99,0,119.97,Delivered
O000186,C0046,2023-11-15,Food & Drink,Protein Bar,1,2.99,0,2.99,Delivered
O000187,C0046,2022-05-07,Books,Python Cookbook,1,34.99,20,27.99,Delivered
O000188,C0046,2022-01-17,Home & Garden,Candle Set,4,24.99,20,79.97,Delivered
O000189,C0047,2023-11-08,Food & Drink,Tea Collection,3,24.99,0,74.97,Delivered
O000190,C0047,2023-04-08,Electronics,Headphones,4,149.99,5,569.96,Delivered
O000191,C0047,2022-05-02,Sports,Dumbbells,2,59.99,0,119.98,Delivered
O000192,C0047,2022-10-14,Books,Cookbook,4,24.99,20,79.97,Delivered
O000193,C0047,2022-12-09,Electronics,Headphones,1,149.99,5,142.49,Delivered
O000194,C0047,2023-10-21,Food & Drink,Coffee Beans,2,19.99,15,33.98,Delivered
O000195,C0048,2023-03-06,Sports,Water Bottle,4,19.99,15,67.97,Delivered
O000196,C0048,2023-02-10,Books,Travel Guide,1,16.99,0,16.99,Delivered
O000197,C0048,2023-02-13,Home & Garden,Candle Set,5,24.99,5,118.7,Delivered
O000198,C0048,2023-02-03,Food & Drink,Tea Collection,5,24.99,0,124.95,Delivered
O000199,C0048,2023-08-01,Sports,Resistance Band,5,14.99,0,74.95,Delivered
O000200,C0048,2023-07-30,Beauty,Face Cream,4,39.99,15,135.97,Delivered
O000201,C0048,2022-09-26,Toys,Stuffed Animal,3,19.99,5,56.97,Delivered
O000202,C0048,2023-04-07,Beauty,Shampoo,2,14.99,0,29.98,Delivered
O000203,C0048,2023-02-18,Toys,Stuffed Animal,5,19.99,10,89.95,Delivered
O000204,C0048,2022-11-08,Home & Garden,Rug,1,129.99,10,116.99,Delivered
O000205,C0049,2023-12-24,Home & Garden,Rug,3,129.99,15,331.47,Delivered
O000206,C0049,2023-12-06,Electronics,USB Hub,1,29.99,10,26.99,Delivered
O000207,C0049,2023-11-12,Sports,Yoga Mat,2,39.99,0,79.98,Delivered
O000208,C0050,2023-10-13,Clothing,Sneakers,5,79.99,0,399.95,Delivered
O000209,C0050,2023-12-22,Beauty,Face Cream,3,39.99,10,107.97,Delivered
O000210,C0050,2023-09-10,Beauty,Face Cream,2,39.99,0,79.98,Delivered
O000211,C0050,2023-10-14,Food & Drink,Protein Bar,5,2.99,5,14.2,Delivered
O000212,C0050,2023-11-11,Food & Drink,Nuts Mix,5,12.99,0,64.95,Delivered
O000213,C0050,2023-11-06,Home & Garden,Rug,5,129.99,0,649.95,Returned
O000214,C0050,2023-07-20,Home & Garden,Candle Set,5,24.99,10,112.45,Delivered
O000215,C0050,2023-09-15,Books,Travel Guide,1,16.99,10,15.29,Delivered
O000216,C0050,2023-12-02,Toys,LEGO Set,1,49.99,20,39.99,Delivered
O000217,C0051,2023-04-17,Food & Drink,Coffee Beans,3,19.99,10,53.97,Delivered
O000218,C0051,2023-08-04,Home & Garden,Rug,2,129.99,0,259.98,Delivered
O000219,C0052,2023-06-15,Home & Garden,Lamp,2,69.99,5,132.98,Delivered
O000220,C0053,2023-12-28,Books,Travel Guide,2,16.99,20,27.18,Delivered
O000221,C0053,2023-08-15,Beauty,Serum,2,54.99,10,98.98,Delivered
O000222,C0053,2023-07-28,Books,Cookbook,2,24.99,20,39.98,Delivered
O000223,C0053,2023-11-17,Clothing,Dress,2,49.99,0,99.98,Delivered
O000224,C0053,2023-08-30,Clothing,Jeans,5,59.99,5,284.95,Delivered
O000225,C0053,2023-10-07,Food & Drink,Coffee Beans,1,19.99,20,15.99,Delivered
O000226,C0053,2023-11-16,Toys,Art Kit,1,24.99,0,24.99,Delivered
O000227,C0054,2023-01-20,Food & Drink,Nuts Mix,3,12.99,5,37.02,Delivered
O000228,C0055,2023-09-15,Beauty,Perfume,4,79.99,15,271.97,Delivered
O000229,C0056,2021-12-01,Electronics,Webcam,4,79.99,10,287.96,Delivered
O000230,C0056,2022-02-11,Clothing,Jacket,4,89.99,5,341.96,Delivered
O000231,C0056,2023-10-10,Electronics,USB Hub,2,29.99,0,59.98,Delivered
O000232,C0056,2022-01-28,Books,Novel,5,12.99,15,55.21,Delivered
O000233,C0056,2021-07-31,Clothing,Sneakers,3,79.99,5,227.97,Delivered
O000234,C0056,2021-10-03,Home & Garden,Lamp,2,69.99,0,139.98,Delivered
O000235,C0056,2023-09-03,Sports,Skipping Rope,4,9.99,5,37.96,Returned
O000236,C0057,2023-05-02,Beauty,Serum,1,54.99,0,54.99,Delivered
O000237,C0057,2023-07-27,Toys,LEGO Set,3,49.99,0,149.97,Delivered
O000238,C0057,2023-04-10,Books,Data Science Guide,2,44.99,0,89.98,Returned
O000239,C0058,2021-07-27,Toys,Puzzle,3,19.99,15,50.97,Delivered
O000240,C0058,2023-12-27,Food & Drink,Coffee Beans,1,19.99,0,19.99,Returned
O000241,C0058,2023-12-28,Books,Data Science Guide,3,44.99,20,107.98,Delivered
O000242,C0058,2023-01-06,Books,Cookbook,5,24.99,20,99.96,Delivered
O000243,C0058,2021-09-15,Books,Data Science Guide,4,44.99,10,161.96,Delivered
O000244,C0058,2022-03-23,Beauty,Perfume,4,79.99,15,271.97,Delivered
O000245,C0058,2022-09-23,Books,Data Science Guide,2,44.99,15,76.48,Delivered
O000246,C0058,2023-05-01,Electronics,Headphones,1,149.99,20,119.99,Delivered
O000247,C0058,2021-09-23,Food & Drink,Coffee Beans,3,19.99,10,53.97,Delivered
O000248,C0059,2022-05-04,Food & Drink,Nuts Mix,3,12.99,0,38.97,Delivered
O000249,C0059,2023-09-23,Beauty,Shampoo,2,14.99,20,23.98,Delivered
O000250,C0059,2022-09-16,Beauty,Lip Balm,1,8.99,20,7.19,Delivered
O000251,C0059,2023-04-26,Sports,Resistance Band,2,14.99,0,29.98,Delivered
O000252,C0060,2023-03-08,Beauty,Lip Balm,3,8.99,0,26.97,Delivered
O000253,C0060,2023-04-02,Clothing,Sneakers,2,79.99,10,143.98,Delivered
O000254,C0060,2022-03-28,Sports,Skipping Rope,2,9.99,10,17.98,Delivered
O000255,C0060,2023-11-06,Clothing,Jeans,4,59.99,0,239.96,Delivered
O000256,C0061,2023-06-18,Beauty,Serum,1,54.99,10,49.49,Delivered
O000257,C0062,2021-11-22,Electronics,USB Hub,5,29.99,10,134.95,Delivered
O000258,C0062,2023-09-30,Home & Garden,Plant Pot,5,14.99,0,74.95,Delivered
O000259,C0062,2023-10-20,Home & Garden,Candle Set,5,24.99,10,112.45,Delivered
O000260,C0062,2021-05-15,Toys,Board Game,2,34.99,5,66.48,Delivered
O000261,C0062,2022-04-26,Food & Drink,Nuts Mix,4,12.99,0,51.96,Delivered
O000262,C0062,2023-06-22,Sports,Skipping Rope,1,9.99,20,7.99,Delivered
O000263,C0062,2022-10-13,Books,Novel,3,12.99,5,37.02,Delivered
O000264,C0062,2023-01-15,Clothing,T-Shirt,4,19.99,10,71.96,Delivered
O000265,C0062,2021-09-21,Electronics,USB Hub,1,29.99,0,29.99,Delivered
O000266,C0063,2022-05-02,Books,Cookbook,5,24.99,10,112.45,Returned
O000267,C0063,2023-07-11,Electronics,Mouse,2,39.99,5,75.98,Delivered
O000268,C0063,2022-02-18,Home & Garden,Plant Pot,5,14.99,0,74.95,Delivered
O000269,C0064,2022-11-21,Beauty,Shampoo,5,14.99,0,74.95,Returned
O000270,C0064,2023-05-21,Books,Travel Guide,2,16.99,0,33.98,Delivered
O000271,C0064,2021-12-23,Home & Garden,Lamp,2,69.99,0,139.98,Delivered
O000272,C0064,2022-07-29,Books,Travel Guide,2,16.99,0,33.98,Delivered
O000273,C0064,2022-03-25,Home & Garden,Candle Set,4,24.99,15,84.97,Delivered
O000274,C0064,2023-10-05,Sports,Yoga Mat,2,39.99,0,79.98,Delivered
O000275,C0065,2022-06-20,Food & Drink,Tea Collection,4,24.99,15,84.97,Delivered
O000276,C0065,2023-08-23,Home & Garden,Cushion,2,34.99,0,69.98,Delivered
O000277,C0065,2022-07-05,Sports,Skipping Rope,2,9.99,0,19.98,Delivered
O000278,C0065,2022-01-13,Electronics,Headphones,5,149.99,5,712.45,Delivered
O000279,C0066,2023-09-13,Clothing,T-Shirt,3,19.99,0,59.97,Delivered
O000280,C0066,2023-04-27,Home & Garden,Cushion,4,34.99,10,125.96,Delivered
O000281,C0066,2022-12-28,Books,Data Science Guide,3,44.99,15,114.72,Delivered
O000282,C0066,2023-12-05,Clothing,T-Shirt,5,19.99,5,94.95,Returned
O000283,C0066,2022-07-29,Toys,Puzzle,3,19.99,0,59.97,Delivered
O000284,C0066,2022-07-13,Electronics,USB Hub,3,29.99,0,89.97,Delivered
O000285,C0066,2022-08-30,Electronics,Laptop Stand,2,49.99,10,89.98,Delivered
O000286,C0066,2022-11-29,Electronics,USB Hub,3,29.99,10,80.97,Delivered
O000287,C0066,2022-11-11,Food & Drink,Protein Bar,3,2.99,0,8.97,Delivered
O000288,C0067,2023-06-27,Electronics,Laptop Stand,5,49.99,0,249.95,Delivered
O000289,C0067,2023-08-15,Beauty,Perfume,1,79.99,20,63.99,Delivered
O000290,C0067,2023-11-13,Clothing,Dress,5,49.99,5,237.45,Delivered
O000291,C0067,2023-12-30,Sports,Skipping Rope,1,9.99,0,9.99,Delivered
O000292,C0067,2023-10-30,Toys,Stuffed Animal,2,19.99,10,35.98,Delivered
O000293,C0067,2023-10-20,Beauty,Lip Balm,1,8.99,15,7.64,Returned
O000294,C0067,2023-09-23,Sports,Yoga Mat,5,39.99,5,189.95,Delivered
O000295,C0067,2023-08-21,Books,Travel Guide,5,16.99,15,72.21,Delivered
O000296,C0067,2023-12-16,Electronics,Webcam,1,79.99,10,71.99,Delivered
O000297,C0068,2022-05-24,Beauty,Shampoo,4,14.99,0,59.96,Returned
O000298,C0069,2023-12-30,Toys,LEGO Set,3,49.99,15,127.47,Delivered
O000299,C0070,2023-10-19,Food & Drink,Olive Oil,3,16.99,5,48.42,Delivered
O000300,C0071,2023-07-25,Food & Drink,Nuts Mix,4,12.99,0,51.96,Delivered
O000301,C0071,2023-10-29,Beauty,Lip Balm,3,8.99,5,25.62,Delivered
O000302,C0071,2023-07-21,Electronics,Mouse,1,39.99,0,39.99,Delivered
O000303,C0071,2023-09-07,Beauty,Perfume,2,79.99,10,143.98,Delivered
O000304,C0071,2023-12-31,Food & Drink,Tea Collection,4,24.99,0,99.96,Delivered
O000305,C0071,2023-11-30,Home & Garden,Rug,1,129.99,5,123.49,Delivered
O000306,C0071,2023-09-27,Sports,Skipping Rope,5,9.99,0,49.95,Delivered
O000307,C0072,2023-08-07,Home & Garden,Cushion,2,34.99,15,59.48,Delivered
O000308,C0072,2023-03-30,Toys,Puzzle,1,19.99,15,16.99,Delivered
O000309,C0072,2023-06-10,Beauty,Perfume,2,79.99,5,151.98,Delivered
O000310,C0072,2023-09-21,Beauty,Face Cream,1,39.99,15,33.99,Delivered
O000311,C0072,2023-05-08,Books,Data Science Guide,4,44.99,15,152.97,Delivered
O000312,C0072,2023-03-16,Sports,Dumbbells,2,59.99,10,107.98,Delivered
O000313,C0073,2022-03-26,Electronics,Laptop Stand,5,49.99,0,249.95,Delivered
O000314,C0073,2023-06-16,Toys,LEGO Set,2,49.99,15,84.98,Delivered
O000315,C0073,2023-03-13,Electronics,Webcam,3,79.99,0,239.97,Delivered
O000316,C0073,2022-02-23,Food & Drink,Nuts Mix,3,12.99,5,37.02,Delivered
O000317,C0073,2023-11-01,Sports,Water Bottle,1,19.99,15,16.99,Delivered
O000318,C0073,2022-09-27,Toys,Stuffed Animal,3,19.99,5,56.97,Delivered
O000319,C0073,2023-06-13,Clothing,Jeans,1,59.99,0,59.99,Delivered
O000320,C0073,2023-07-30,Clothing,T-Shirt,1,19.99,10,17.99,Delivered
O000321,C0073,2023-11-07,Food & Drink,Nuts Mix,5,12.99,0,64.95,Delivered
O000322,C0074,2021-04-03,Food & Drink,Protein Bar,1,2.99,0,2.99,Delivered
