customer_id,registration_date,country,acquisition_channel
C0510,2022-08-30,Austria,Website
C0511,2022-01-17,Germany,Email Campaign
C0512,2023-08-29,Germany,Website
C0513,2023-06-02,Germany,Website
C0514,2021-07-22,Germany,Website
C0515,2023-08-18,Germany,Mobile App
C0516,2022-08-15,Germany,Email Campaign
C0517,2022-06-08,Germany,Mobile App
C0518,2021-07-14,Germany,Mobile App
C0519,2022-03-05,Germany,Website
C0520,2022-07-16,Germany,Mobile App
C0521,2021-08-30,Germany,Website
C0522,2023-07-07,Germany,Website
C0523,2023-08-19,Germany,Website
C0524,2023-05-20,Germany,Mobile App
C0525,2023-09-25,Switzerland,Mobile App
C0526,2021-04-27,Germany,Website
C0527,2023-06-18,Germany,Website
C0528,2022-04-29,Germany,Mobile App
C0529,2022-09-17,Germany,Website
C0530,2023-07-18,Germany,Website
C0531,2023-09-28,Switzerland,Mobile App
C0532,2022-11-30,Germany,Mobile App
C0533,2021-05-01,Germany,Website
C0534,2022-06-13,Germany,Mobile App
C0535,2021-01-14,Austria,Mobile App
C0536,2022-12-16,Germany,Website
C0537,2023-04-03,Germany,Mobile App
C0538,2021-03-17,Germany,Website
C0539,2022-01-19,Germany,Email Campaign
C0540,2021-09-15,Germany,Email Campaign
C0541,2021-09-29,Germany,Website
C0542,2022-04-12,Germany,Website
C0543,2022-01-28,Germany,Mobile App
C0544,2023-09-18,Germany,Website
C0545,2022-06-25,Germany,Website
C0546,2022-02-04,Germany,Website
C0547,2021-01-13,Austria,Website
C0548,2021-02-27,Germany,Email Campaign
C0549,2023-05-06,Austria,Website
C0550,2021-01-11,Austria,Email Campaign
C0551,2023-05-05,Germany,Website
C0552,2023-09-22,Germany,Website
C0553,2022-04-22,Germany,Email Campaign
C0554,2023-04-28,Germany,Website
C0555,2023-01-04,Germany,Mobile App
C0556,2023-09-20,Switzerland,Mobile App
C0557,2021-09-29,Switzerland,Mobile App
C0558,2021-07-07,Germany,Mobile App
C0559,2022-05-23,Austria,Mobile App
C0560,2022-10-08,Germany,Website
C0561,2023-10-05,Germany,Website
C0562,2021-03-03,Germany,Mobile App
C0563,2021-12-29,Germany,Mobile App
C0564,2021-06-10,Germany,Website
C0565,2021-02-20,Germany,Website
C0566,2022-11-11,Germany,Email Campaign
C0567,2022-11-11,Germany,Mobile App
C0568,2023-07-22,Austria,Website
C0569,2022-10-01,Germany,Website
C0570,2022-03-21,Switzerland,Website
C0571,2023-08-23,Germany,Mobile App
C0572,2021-02-05,Germany,Mobile App
C0573,2023-11-21,Germany,Website
C0574,2021-07-11,Germany,Mobile App
C0575,2021-03-28,Austria,Website
C0576,2023-06-07,Germany,Mobile App
C0577,2023-02-16,Switzerland,Website
C0578,2023-08-17,Switzerland,Email Campaign
C0579,2022-06-13,Germany,Website
C0580,2021-09-21,Switzerland,Mobile App
C0581,2021-01-12,Austria,Website
C0582,2022-03-24,Germany,Mobile App
C0583,2023-08-18,Germany,Email Campaign
C0584,2022-08-08,Austria,Website
C0585,2022-12-04,Germany,Email Campaign
C0586,2021-03-06,Austria,Email Campaign
C0587,2021-04-12,Germany,Mobile App
C0588,2023-09-25,Germany,Mobile App
C0589,2023-09-11,Switzerland,Website
C0590,2022-02-09,Austria,Website
C0591,2022-10-05,Germany,Mobile App
C0592,2021-07-17,Germany,Mobile App
C0593,2023-08-27,Germany,Website
C0594,2022-08-19,Switzerland,Mobile App
C0595,2022-09-16,Germany,Mobile App
C0596,2022-10-21,Germany,Website
C0597,2022-07-25,Germany,Website
C0598,2021-04-15,Germany,Website
C0599,2022-01-23,Germany,Website
C0600,2021-02-02,Germany,Mobile App
C0601,2021-12-01,Germany,Website
C0602,2023-03-22,Germany,Mobile App
C0603,2021-04-07,Switzerland,Email Campaign
C0604,2023-01-11,Germany,Website
C0605,2022-05-26,Germany,Website
C0606,2022-04-29,Switzerland,Mobile App
C0607,2022-07-05,Germany,Website
C0608,2022-04-12,Germany,Website
C0609,2021-09-13,Germany,Mobile App
C0610,2022-09-01,Germany,Mobile App
C0611,2022-10-17,Germany,Mobile App
C0612,2023-09-16,Germany,Website
C0613,2022-04-12,Germany,Website
C0614,2021-12-21,Germany,Mobile App
C0615,2021-06-11,Switzerland,Mobile App
C0616,2021-11-04,Germany,Email Campaign
C0617,2023-09-03,Germany,Website
C0618,2023-03-12,Germany,Website
C0619,2022-11-03,Germany,Website
C0620,2021-05-29,Germany,Email Campaign
C0621,2021-03-07,Germany,Website
C0622,2022-03-06,Germany,Website
C0623,2022-01-08,Switzerland,Website
C0624,2021-03-22,Germany,Website
C0625,2023-02-18,Germany,Mobile App
C0626,2023-10-17,Switzerland,Website
C0627,2021-08-02,Switzerland,Email Campaign
C0628,2021-03-11,Germany,Website
C0629,2021-11-05,Switzerland,Email Campaign
C0630,2021-04-17,Germany,Website
C0631,2022-05-18,Austria,Website
C0632,2021-05-29,Austria,Mobile App
C0633,2021-04-09,Austria,Mobile App
C0634,2022-09-29,Germany,Website
C0635,2021-11-08,Germany,Mobile App
C0636,2023-09-18,Germany,Mobile App
C0637,2022-08-20,Germany,Email Campaign
C0638,2022-05-31,Germany,Mobile App
C0639,2022-05-22,Germany,Website
C0640,2021-09-05,Germany,Mobile App
C0641,2022-09-20,Germany,Mobile App
C0642,2023-03-03,Germany,Mobile App
C0643,2023-05-28,Austria,Website
C0644,2023-08-12,Germany,Website
C0645,2021-04-01,Germany,Website
C0646,2023-05-15,Germany,Website
C0647,2023-03-12,Germany,Website
C0648,2023-06-02,Switzerland,Email Campaign
C0649,2023-04-26,Germany,Email Campaign
C0650,2021-05-21,Germany,Website
C0651,2022-06-16,Austria,Mobile App
C0652,2022-04-04,Switzerland,Website
C0653,2022-05-08,Austria,Website
C0654,2022-07-18,Germany,Website
C0655,2022-10-11,Germany,Website
C0656,2021-11-08,Germany,Website
C0657,2022-01-22,Germany,Website
C0658,2022-04-25,Switzerland,Website
C0659,2023-09-08,Germany,Website
C0660,2022-01-24,Germany,Mobile App
C0661,2022-06-30,Switzerland,Website
C0662,2021-02-21,Germany,Mobile App
C0663,2023-01-01,Switzerland,Mobile App
C0664,2021-06-12,Germany,Email Campaign
C0665,2022-09-18,Germany,Website
C0666,2023-03-13,Germany,Website
C0667,2023-10-16,Germany,Email Campaign
C0668,2023-02-22,Germany,Website
C0669,2021-09-11,Austria,Website
C0670,2022-12-16,Germany,Website
C0671,2021-08-18,Germany,Website
C0672,2021-05-20,Germany,Website
C0673,2021-03-28,Germany,Website
C0674,2021-06-24,Germany,Mobile App
C0675,2021-07-29,Germany,Website
C0676,2021-09-03,Germany,Website
C0677,2021-07-09,Austria,Website
C0678,2023-03-04,Austria,Website
C0679,2022-05-05,Germany,Website
C0680,2022-05-15,Germany,Mobile App
C0681,2023-10-17,Austria,Website
C0682,2023-04-29,Germany,Website
C0683,2022-04-05,Germany,Mobile App
C0684,2023-03-17,Germany,Mobile App
C0685,2022-10-23,Germany,Website
C0686,2023-05-14,Austria,Email Campaign
C0687,2023-02-20,Germany,Email Campaign
C0688,2021-04-11,Germany,Website
C0689,2022-01-12,Austria,Website
C0690,2023-02-14,Germany,Website
C0691,2021-04-17,Switzerland,Mobile App
C0692,2021-10-17,Switzerland,Website
C0693,2021-12-03,Germany,Website
C0694,2021-08-12,Austria,Website
C0695,2022-10-27,Austria,Email Campaign
C0696,2022-05-04,Germany,Website
C0697,2021-02-09,Germany,Website
C0698,2022-06-19,Austria,Website
C0699,2021-06-01,Germany,Website
C0700,2021-10-21,Germany,Website
C0701,2022-06-08,Germany,Email Campaign
C0702,2021-05-05,Germany,Mobile App
